seed,world,view,idx,hazard,fam,n_floor,n_tau,max_conf,any_box,hit_wedge,center_wedge,hit_full,cell_hit,n_claimed,n_gt_cells
42,gz_drop1,extra_h0.3_d1.2,000,1,negobs,0,0,0.0,0,0,0,0,0,0,16
42,gz_drop1,extra_h0.3_d1.2,001,1,negobs,0,0,0.0,0,0,0,0,0,0,16
42,gz_drop1,extra_h0.3_d1.2,002,1,negobs,0,0,0.0,0,0,0,0,0,0,16
42,gz_drop1,preset_h0.3_d10,000,1,negobs,2,0,0.07771,0,0,0,0,0,0,3
42,gz_drop1,preset_h0.3_d10,001,1,negobs,2,0,0.07771,0,0,0,0,0,0,3
42,gz_drop1,preset_h0.3_d10,002,1,negobs,2,0,0.07771,0,0,0,0,0,0,3
42,gz_drop1,preset_h0.3_d2,000,1,negobs,1,1,0.81088,1,1,0,1,0,3,11
42,gz_drop1,preset_h0.3_d2,001,1,negobs,1,1,0.81088,1,1,0,1,0,3,11
42,gz_drop1,preset_h0.3_d2,002,1,negobs,1,1,0.81088,1,1,0,1,0,3,11
42,gz_drop1,preset_h0.3_d5,000,1,negobs,0,0,0.0,0,0,0,0,0,0,6
42,gz_drop1,preset_h0.3_d5,001,1,negobs,0,0,0.0,0,0,0,0,0,0,6
42,gz_drop1,preset_h0.3_d5,002,1,negobs,0,0,0.0,0,0,0,0,0,0,6
42,gz_drop1,preset_h0.9_d10,000,1,negobs,0,0,0.0,0,0,0,0,0,0,3
42,gz_drop1,preset_h0.9_d10,001,1,negobs,0,0,0.0,0,0,0,0,0,0,3
42,gz_drop1,preset_h0.9_d10,002,1,negobs,0,0,0.0,0,0,0,0,0,0,3
42,gz_drop1,preset_h0.9_d2,000,1,negobs,2,0,0.24256,0,0,0,0,0,0,11
42,gz_drop1,preset_h0.9_d2,001,1,negobs,2,0,0.24256,0,0,0,0,0,0,11
42,gz_drop1,preset_h0.9_d2,002,1,negobs,2,0,0.24256,0,0,0,0,0,0,11
42,gz_drop1,preset_h0.9_d5,000,1,negobs,0,0,0.0,0,0,0,0,0,0,6
42,gz_drop1,preset_h0.9_d5,001,1,negobs,0,0,0.0,0,0,0,0,0,0,6
42,gz_drop1,preset_h0.9_d5,002,1,negobs,0,0,0.0,0,0,0,0,0,0,6
42,gz_drop1,rs_h0.125_d2,000,1,rs,0,0,0.0,0,0,0,0,0,0,11
42,gz_drop1,rs_h0.125_d2,001,1,rs,0,0,0.0,0,0,0,0,0,0,11
42,gz_drop1,rs_h0.125_d2,002,1,rs,0,0,0.0,0,0,0,0,0,0,11
42,gz_drop1,rs_h0.125_d5,000,1,rs,0,0,0.0,0,0,0,0,0,0,6
