model,seed,scene,occluder,cut,cond,round,d,h,pitch,yaw,hfov,edge_projected,hbin,dbin,dbin3a,n_gt,ncell_3a,ncell_3b,d_3a,d_3b,on_3a,off_3a,on_3b,off_3b,rec_3a,rec_3b,delta_all
rgb,42,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260819__0000.png,L7,260819_main_on,4.7439,0.8483,-9.8586,1.429,61.6578,130,h_mid (~0.9),d<7,d<5.5,10,5,5,-0.065814,0.371125,0.017803,0.083617,0.718305,0.34718,0.0,1.0,0.371125
rgb,42,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260819__0001.png,L7,260819_main_on,7.036,1.2795,-8.9998,1.6524,61.4065,179,h_hi (~1.8),d 7-9,d>=6.8,9,4,5,-0.033880999999999994,0.562038,0.095473,0.129354,0.883215,0.321177,0.0,1.0,0.562038
rgb,42,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260819__0003.png,L7,260819_main_on,4.594,0.9536,-3.2277,7.0829,62.9059,125,h_mid (~0.9),d<7,d<5.5,10,5,5,-0.724418,0.44577,0.161309,0.885727,0.833472,0.387702,0.0,1.0,-0.05225500000000005
rgb,42,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260819__0004.png,L7,260819_main_on,8.4208,1.0624,-9.4161,-17.2604,60.9456,141,h_mid (~0.9),d 7-9,d>=6.8,4,0,4,nan,0.5118969999999999,nan,nan,0.545611,0.033714,nan,1.0,0.5118969999999999
rgb,42,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260819__0006.png,L7,260819_main_on,6.5633,0.9635,-10.0252,-0.1653,61.7917,167,h_mid (~0.9),d<7,d 5.5-6.8,10,5,5,0.0007169999999999954,0.585789,0.134334,0.133617,0.90654,0.320751,0.0,1.0,0.585789
rgb,42,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260819__0007.png,L7,260819_main_on,4.9665,0.7236,-8.8174,0.2988,62.6318,132,h_mid (~0.9),d<7,d<5.5,10,5,5,-0.139546,0.201168,0.204258,0.343804,0.735204,0.534036,0.0,1.0,0.201168
rgb,42,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260820__0000.png::boost_e,L7,260820_boost_e_on,8.9228,1.4412,-8.1284,3.311,58.9789,189,h_hi (~1.8),d 7-9,d>=6.8,5,0,5,nan,-0.051511,nan,nan,0.029905,0.081416,nan,0.0,-0.051511
rgb,42,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260820__0000.png::boost_h,L7,260820_boost_h_on,8.9228,0.5085,-8.1284,3.311,58.9789,188,h_lo (robot ~0.3),d 7-9,d>=6.8,5,0,5,nan,0.40133,nan,nan,0.450946,0.049616,nan,0.0,0.40133
rgb,42,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260820__0001.png::boost_e,L7,260820_boost_e_on,11.2053,1.7168,-10.3828,-4.0507,61.2701,67,h_hi (~1.8),d>=9,d>=6.8,4,0,4,nan,0.014345999999999998,nan,nan,0.15007,0.135724,nan,0.0,0.014345999999999998
rgb,42,scene14,tread/landing self-occlusion (perspective terrace illusion),L7__s20260820__0001.png::boost_h,L7,260820_boost_h_on,11.2053,0.8037,-10.3828,-4.0507,61.2701,67,h_mid (~0.9),d>=9,d>=6.8,4,0,4,nan,0.25003,nan,nan,0.308382,0.058352,nan,0.0,0.25003
