scene_id,cut,tier,kept,mismatch,n_gt_pos,max_on_gt,max_off_gt,delta_score,max_on_all,max_off_all,delta_frame
sceneC2,L2__s20260819__0004.png,V,False,ground_z,9,0.9496,0.975229,-0.025629000000000013,0.9496,0.975229,-0.025629000000000013
sceneC2,L2__s20260819__0005.png,V,False,ground_z,5,0.969745,0.981595,-0.011850000000000027,0.969745,0.981595,-0.011850000000000027
sceneC2,L2__s20260819__0006.png,V,False,ground_z,5,0.945995,0.892133,0.053862000000000076,0.945995,0.892133,0.053862000000000076
sceneC2,L2__s20260819__0007.png,V,False,ground_z,10,0.981871,0.872239,0.10963200000000006,0.981871,0.872239,0.10963200000000006
sceneC2,L3__s20260819__0000.png,V,False,ground_z,8,0.879144,0.703778,0.17536600000000002,0.879144,0.703778,0.17536600000000002
sceneC2,L3__s20260819__0001.png,V,False,ground_z,3,0.96248,0.969793,-0.007313000000000014,0.96248,0.969793,-0.007313000000000014
sceneC2,L3__s20260819__0002.png,V,False,ground_z,2,0.949583,0.975999,-0.026415999999999995,0.949583,0.975999,-0.026415999999999995
sceneC2,L3__s20260819__0003.png,V,False,ground_z,10,0.815297,0.173916,0.6413810000000001,0.815297,0.173916,0.6413810000000001
sceneC2,L3__s20260819__0004.png,V,False,ground_z,9,0.950822,0.972922,-0.02210000000000001,0.950822,0.972922,-0.02210000000000001
sceneC2,L3__s20260819__0005.png,V,False,ground_z,5,0.968131,0.980757,-0.012626000000000026,0.968131,0.980757,-0.012626000000000026
sceneC2,L3__s20260819__0006.png,V,False,ground_z,5,0.944979,0.901423,0.04355600000000004,0.944979,0.901423,0.04355600000000004
sceneC2,L3__s20260819__0007.png,V,False,ground_z,10,0.980387,0.877306,0.10308099999999998,0.980387,0.877306,0.10308099999999998
sceneC2,L7__s20260819__0000.png,V,False,ground_z,8,0.852647,0.693522,0.15912500000000007,0.852647,0.693522,0.15912500000000007
sceneC2,L7__s20260819__0001.png,V,False,ground_z,3,0.960334,0.971799,-0.011464999999999947,0.960334,0.971799,-0.011464999999999947
sceneC2,L7__s20260819__0002.png,V,False,ground_z,2,0.950799,0.976463,-0.02566400000000002,0.950799,0.976463,-0.02566400000000002
sceneC2,L7__s20260819__0003.png,V,False,ground_z,10,0.763404,0.154316,0.609088,0.763404,0.154316,0.609088
sceneC2,L7__s20260819__0004.png,V,False,ground_z,9,0.959677,0.972177,-0.012499999999999956,0.959677,0.972177,-0.012499999999999956
