model,seed,run,stratum,frame_id,scene_id,tier,cell,cell_idx,sector,band,score,cell_int_px,n_px,unseen,lum_ratio,line_frac,fam_decorative,fam_terrain,fam_lighting,fam_surrogate,fam_boundary,bnd_band,bnd_sector,bnd_corner,surrogate_weak,light_50,light_70,prior_saturated,n_families,families,method
rgb,42,rgb_s42,OFF,off/scene15/L4__s20260819__0003.png,scene15,off,B3b,16,B,3b,0.975307,0,15,0,2.7579,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L4__s20260819__0003.png,scene15,off,C3b,17,C,3b,0.952546,0,738,0,2.7431,0.2358,0,0,0,1,1,1,0,0,0,0,0,0,2,대리선형|경계칸형,heuristic+mechanical
rgb,42,rgb_s42,OFF,off/scene15/L4__s20260819__0004.png,scene15,off,B3b,16,B,3b,0.554072,0,0,1,,,0,1,0,0,1,1,0,0,0,0,0,0,2,지형통계형|경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L4__s20260819__0004.png,scene15,off,C3b,17,C,3b,0.633221,0,1234,0,1.4638,0.09,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L4__s20260819__0005.png,scene15,off,B3a,11,B,3a,0.747036,0,0,1,,,0,1,0,0,0,0,0,0,0,0,0,0,1,지형통계형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L4__s20260819__0005.png,scene15,off,C3a,12,C,3a,0.879465,0,3519,0,1.0246,0.0185,0,0,0,0,0,0,0,0,0,0,0,0,0,,unclassified
rgb,42,rgb_s42,OFF,off/scene15/L4__s20260819__0005.png,scene15,off,B3b,16,B,3b,0.876959,0,0,1,,,0,1,0,0,1,1,0,0,0,0,0,0,2,지형통계형|경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L4__s20260819__0005.png,scene15,off,C3b,17,C,3b,0.95338,0,539,0,1.8366,0.3748,0,0,0,1,1,1,0,0,0,0,0,0,2,대리선형|경계칸형,heuristic+mechanical
rgb,42,rgb_s42,OFF,off/scene15/L4__s20260819__0005.png,scene15,off,D3b,18,D,3b,0.847887,0,419,0,1.6556,0.3986,0,0,0,1,1,1,0,0,0,0,0,0,2,대리선형|경계칸형,heuristic+mechanical
rgb,42,rgb_s42,OFF,off/scene15/L4__s20260819__0006.png,scene15,off,B3a,11,B,3a,0.715164,0,2715,0,0.9489,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,,unclassified
rgb,42,rgb_s42,OFF,off/scene15/L4__s20260819__0006.png,scene15,off,B3b,16,B,3b,0.892078,0,527,0,2.3532,0.1195,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L4__s20260819__0006.png,scene15,off,C3b,17,C,3b,0.801917,0,0,1,,,0,1,0,0,1,1,0,0,0,0,0,0,2,지형통계형|경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L4__s20260819__0007.png,scene15,off,B3b,16,B,3b,0.657791,0,0,1,,,0,1,0,0,1,1,0,0,0,0,0,0,2,지형통계형|경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L4__s20260819__0007.png,scene15,off,C3b,17,C,3b,0.652465,0,1551,0,1.2513,0.1315,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L7__s20260819__0000.png,scene15,off,B3b,16,B,3b,0.539823,0,3379,0,1.7036,0.0086,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L7__s20260819__0001.png,scene15,off,B3b,16,B,3b,0.911356,0,321,0,1.3542,0.0312,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L7__s20260819__0001.png,scene15,off,C3b,17,C,3b,0.838805,0,76,0,1.3514,0.4737,0,0,0,1,1,1,0,0,0,0,0,0,2,대리선형|경계칸형,heuristic+mechanical
rgb,42,rgb_s42,OFF,off/scene15/L7__s20260819__0002.png,scene15,off,B3b,16,B,3b,0.677095,0,0,1,,,0,1,0,0,1,1,0,0,0,0,0,0,2,지형통계형|경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L7__s20260819__0002.png,scene15,off,C3b,17,C,3b,0.745317,0,956,0,0.9252,0.1621,0,0,0,1,1,1,0,0,0,0,0,0,2,대리선형|경계칸형,heuristic+mechanical
rgb,42,rgb_s42,OFF,off/scene15/L7__s20260819__0002.png,scene15,off,D3b,18,D,3b,0.597395,0,349,0,0.7356,0.0143,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L7__s20260819__0003.png,scene15,off,B3b,16,B,3b,0.961112,0,15,0,1.4532,0.0667,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L7__s20260819__0003.png,scene15,off,C3b,17,C,3b,0.925977,0,738,0,1.5263,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L7__s20260819__0004.png,scene15,off,B3b,16,B,3b,0.655343,0,0,1,,,0,1,0,0,1,1,0,0,0,0,0,0,2,지형통계형|경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L7__s20260819__0004.png,scene15,off,C3b,17,C,3b,0.700404,0,1234,0,0.6836,0.0535,0,0,0,0,1,1,0,0,0,0,1,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L7__s20260819__0005.png,scene15,off,B3a,11,B,3a,0.695384,0,0,1,,,0,1,0,0,0,0,0,0,0,0,0,0,1,지형통계형,mechanical
rgb,42,rgb_s42,OFF,off/scene15/L7__s20260819__0005.png,scene15,off,C3a,12,C,3a,0.685931,0,3519,0,1.107,0.0074,0,0,0,0,0,0,0,0,0,0,0,0,0,,unclassified
