backup_file	bytes	source_file_exists
experiments/v3_0823/code/h67_yield.py.pre0827.bak	8961	True
experiments/v3_0823/code/view_overlay.py.pre0827.bak	8703	True
experiments/v3_0823/code/w0_label.sh.pre0827.bak	2312	True
experiments/v3_0823/dataset_manifest_v2corr.json.pre0827.bak	3010477	True
experiments/v3_0823/dataset_manifest_v2corr_roundown.json.pre0827.bak	3010683	True
experiments/v3_0823/dataset_manifest_v3.json.pre0827.bak	9331998	True
experiments/v3_0823/dataset_manifest_v3_seg3.json.pre0827.bak	9460076	True
experiments/v3_0823/dataset_manifest_v3_textext.json.pre0827.bak	844655	True
experiments/v3_0823/dataset_manifest_v3_textext_bd.json.pre0827.bak	844502	True
experiments/v3_0823/logs/cue_extent_frames.json.pre0827.bak	3875303	True
experiments/v3_0823/logs/h12_probe.log.pre0827.bak	1781843	True
experiments/v3_0823/logs/h3l1_probe.log.pre0827.bak	1519031	True
experiments/v3_0823/logs/h67_probe.log.pre0827.bak	960871	True
experiments/v3_0823/logs/n911_probe.log.pre0827.bak	3627848	True
experiments/v3_0823/logs/p5_seg_smoke.log.pre0827.bak	44626	True
experiments/v3_0823/logs/segfill_render.log.pre0827.bak	1599417	True
experiments/v3_0823/logs/w0_cuecls_render.log.pre0827.bak	2498710	True
experiments/v3_0823/logs/w0_label.log.pre0827.bak	4662	True
experiments/v3_0823/logs/w1b2_render.log.pre0827.bak	1686967	True
experiments/v3_0823/logs/w1b3_render.log.pre0827.bak	728873	True
experiments/v3_0823/logs/w1b_console.log.pre0827.bak	18440	True
experiments/v3_0823/logs/w1b_render.log.pre0827.bak	1999082	True
experiments/v3_0823/logs/w1b_rerun_s20e2.log.pre0827.bak	2007	True
experiments/v3_0823/logs/w1b_rerun_scene20.log.pre0827.bak	1920	True
experiments/v3_0823/logs/w1c_hashgate.log.pre0827.bak	646255	True
experiments/v3_0823/logs/w1c_render.log.pre0827.bak	2418469	True
experiments/v3_0823/logs/w1c_segprobe.log.pre0827.bak	89779	True
experiments/v3_0823/logs/w1d_console.log.pre0827.bak	24098	True
experiments/v3_0823/logs/w1d_render.log.pre0827.bak	2791811	True
experiments/v3_0823/logs/w2_h67_render.log.pre0827.bak	981346	True
experiments/v3_0823/logs/w3_text_render.log.pre0827.bak	2388772	True
experiments/v3_0823/manifest_boost_e2_g7fix.json.pre0827.bak	557996	True
experiments/v3_0823/manifest_boost_e2_g7fixM.json.pre0827.bak	140689	True
experiments/v3_0823/manifest_boost_e_g7fix.json.pre0827.bak	973668	True
experiments/v3_0823/manifest_boost_e_g7fixM.json.pre0827.bak	209957	True
experiments/v3_0823/panels/PANELS_V3.md.pre0827.bak	15886	True
experiments/v3_0823/redteam/RT_LEDGER_A.md.pre0827.bak	66862	True
experiments/v3_0823/w0_cuecls.json.pre0827.bak	103040	True
experiments/v3_0823/w1b2_segfill.json.pre0827.bak	68853	True
experiments/v3_0823/w1d_cuecls.json.pre0827.bak	101362	True
experiments/v3_0823/w1d_cuecls_guoff_hmfix.json.pre0827.bak	102600	True
experiments/v3_0823/w1d_seg3.json.pre0827.bak	16997	True
experiments/weekend_0823/c2_rootcause/C2_ROOTCAUSE.md.pre0827.bak	29528	True
experiments/weekend_0823/code/run_ctrl_eval_depth.sh.pre0827.bak	9613	True
experiments/weekend_0823/cue_audit/CUEOFF_RESULT_v2.md.pre0827.bak	48702	True
experiments/weekend_0823/cue_audit/eval_cueoff.sh.pre0827.bak	9532	True
experiments/weekend_0823/cue_audit/eval_tmux.log.pre0827.bak	79356	True
experiments/weekend_0823/cue_audit/logs/cueoff_eval.log.pre0827.bak	5958954	True
experiments/weekend_0823/cue_audit/logs/cueoff_render.log.pre0827.bak	1238495	True
experiments/weekend_0823/cue_audit/manifests/lineage__260823_cueoff2_A__scene12.json.pre0827.bak	69026	True
experiments/weekend_0823/cue_audit/manifests/lineage__260823_cueoff2_B1__scene12.json.pre0827.bak	69099	True
experiments/weekend_0823/cue_audit/manifests/lineage__260823_cueoff2_B2__scene12.json.pre0827.bak	69099	True
experiments/weekend_0823/cue_audit/manifests/lineage__260823_cueoff2_C__scene12.json.pre0827.bak	69266	True
experiments/weekend_0823/cue_audit/manifests/lineage__260823_cueoff2_P__scene12.json.pre0827.bak	69026	True
experiments/weekend_0823/cue_audit/manifests/lineage__260823_cueoff_A__scene12.json.pre0827.bak	68862	True
experiments/weekend_0823/cue_audit/manifests/lineage__260823_cueoff_A__scene17.json.pre0827.bak	69081	True
experiments/weekend_0823/cue_audit/manifests/lineage__260823_cueoff_A__scene20.json.pre0827.bak	69126	True
experiments/weekend_0823/cue_audit/manifests/lineage__260823_cueoff_B1__scene12.json.pre0827.bak	68935	True
experiments/weekend_0823/cue_audit/manifests/lineage__260823_cueoff_B1__scene17.json.pre0827.bak	69154	True
experiments/weekend_0823/cue_audit/manifests/lineage__260823_cueoff_B1__scene20.json.pre0827.bak	69145	True
experiments/weekend_0823/cue_audit/manifests/lineage__260823_cueoff_B2__scene12.json.pre0827.bak	68935	True
experiments/weekend_0823/cue_audit/manifests/lineage__260823_cueoff_B2__scene17.json.pre0827.bak	35044	True
experiments/weekend_0823/cue_audit/manifests/lineage__260823_cueoff_B2__scene20.json.pre0827.bak	69163	True
experiments/weekend_0823/cue_audit/manifests/lineage__260823_cueoff_C__scene12.json.pre0827.bak	69102	True
experiments/weekend_0823/cue_audit/manifests/lineage__260823_cueoff_C__scene17.json.pre0827.bak	69300	True
experiments/weekend_0823/cue_audit/manifests/lineage__260823_cueoff_C__scene20.json.pre0827.bak	69219	True
experiments/weekend_0823/cue_audit/manifests/lineage__260823_cueoff_P__scene12.json.pre0827.bak	68862	True
experiments/weekend_0823/cue_audit/manifests/lineage__260823_cueoff_P__scene17.json.pre0827.bak	69081	True
experiments/weekend_0823/cue_audit/manifests/lineage__260823_cueoff_P__scene20.json.pre0827.bak	69126	True
experiments/weekend_0823/cue_audit/manifests/lineage__260823_cueoff_s20fix_A__scene20.json.pre0827.bak	104204	True
experiments/weekend_0823/cue_audit/manifests/lineage__260823_cueoff_s20fix_B1__scene20.json.pre0827.bak	104349	True
