old	new	wave	kind	size_bytes	reason
look_check/sceneD4/r1_pt	look_check/_archive/w2/sceneD4/r1_pt	w2	round	9958138	free round (W2-P3/P4, role=early-iter, cited_by=2) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneD4/r2_pt	look_check/_archive/w2/sceneD4/r2_pt	w2	round	32204816	free round (W2-P3/P4, role=early-iter, cited_by=2) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneN1/260730_lcfreeze_post	look_check/_archive/w2d/sceneN1/260730_lcfreeze_post	w2d	round	51709877	free round (W2-D, role=wave-round, cited_by=7) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneN1/260730_lcfreeze_pre	look_check/_archive/w2d/sceneN1/260730_lcfreeze_pre	w2d	round	51792586	free round (W2-D, role=pre-arm, cited_by=2) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneN1/260731_w3_full	look_check/_archive/w3/sceneN1/260731_w3_full	w3	round	51549513	free round (W3, role=wave-round, cited_by=20) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneN1/260805_w3_hedgeswap	look_check/_archive/w3fix/sceneN1/260805_w3_hedgeswap	w3fix	round	51560168	free round (W3-fix, role=wave-round, cited_by=11) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneN1/260806_w3_allview4	look_check/_archive/w3fix/sceneN1/260806_w3_allview4	w3fix	round	16237983	free round (W3-fix, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneN1/260806_w3_allview5	look_check/_archive/w3fix/sceneN1/260806_w3_allview5	w3fix	round	16242660	free round (W3-fix, role=wave-round, cited_by=22) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneN2/260731_w3_full	look_check/_archive/w3/sceneN2/260731_w3_full	w3	round	59906212	free round (W3, role=wave-round, cited_by=20) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/sceneN2/260805_w3_hedgeswap	look_check/_archive/w3fix/sceneN2/260805_w3_hedgeswap	w3fix	round	61710035	free round (W3-fix, role=wave-round, cited_by=11) - not pinned by valset.py / regr-chain / BoR stamp / anchor
