scene,arm,frame_id,cond,round,d,h_rel,pitch,yaw,finite_frac,inf_frac,p05,p25,p50,p75,p95,max_finite,min_finite,sat_frac,mean_norm,std_norm,frac_band1,frac_band2,frac_band3a,frac_band3b,vgrad_mean,vgrad_p99,hgrad_mean
scene15,on,on/scene15/L0__s20260819__0002.png,L0,260819_main_on,4.6673,0.5252,-8.4908,3.1991,0.9978771219135802,0.002122878086419753,1.11328125,1.431640625,1.8818359375,2.978515625,7.4140625,35.40625,1.00390625,0.04148244598765432,0.26531606912612915,0.20286159217357635,0.5432339891975309,0.37840470679012345,0.028704185956790123,0.00978587962962963,0.02356458082795143,0.1875,0.03651435673236847
scene15,on,on/scene15/L0__s20260819__0003.png,L0,260819_main_on,1.3693,0.9901,-13.9162,-3.4361,1.0,0.0,1.33203125,1.4541015625,1.8037109375,3.5,12.96875,27.15625,1.255859375,0.0548389274691358,0.3034858703613281,0.24834512174129486,0.5494304591049383,0.2796161265432099,0.08473765432098765,0.0345751350308642,0.020936334505677223,0.328125,0.06682238727807999
scene15,on,on/scene15/L0__s20260819__0004.png,L0,260819_main_on,5.5065,0.7528,-11.0394,5.5473,0.9993021797839506,0.0006978202160493827,1.4267578125,1.7099609375,2.166015625,3.30078125,7.7421875,35.6875,1.291015625,0.040275848765432096,0.29477760195732117,0.19950929284095764,0.42650270061728396,0.4324131944444444,0.09314043209876544,0.011909722222222223,0.024851784110069275,0.171875,0.03684002906084061
scene15,on,on/scene15/L0__s20260819__0005.png,L0,260819_main_on,3.0224,0.9833,-12.9205,6.4099,0.9999633487654321,3.6651234567901234e-05,1.5224609375,1.8408203125,2.314453125,3.01953125,10.6484375,29.890625,1.380859375,0.055574845679012344,0.30457812547683716,0.21469135582447052,0.3537987075617284,0.5316526813271605,0.04243489583333333,0.02995707947530864,0.021285874769091606,0.203125,0.04852239787578583
scene15,on,on/scene15/L0__s20260819__0006.png,L0,260819_main_on,2.2421,0.9553,-9.1914,-18.2162,0.9991960841049383,0.0008039158950617284,1.1044921875,1.5224609375,2.3046875,3.62109375,15.0078125,30.4375,1.0234375,0.07291136188271605,0.32789406180381775,0.26463496685028076,0.3807783564814815,0.43818431712962963,0.06720244984567901,0.0450294174382716,0.024681493639945984,0.2734375,0.06639090180397034
scene15,on,on/scene15/L0__s20260819__0007.png,L0,260819_main_on,5.1525,0.8177,-15.2404,1.5985,1.0,0.0,1.400390625,1.6474609375,2.048828125,2.99609375,6.23828125,30.71875,1.2958984375,0.031078317901234567,0.27228909730911255,0.18193218111991882,0.47715711805555555,0.4344579475308642,0.04934654706790124,0.01214940200617284,0.021018261089920998,0.13671875,0.03104012832045555
scene15,on,on/scene15/L0__s20260820__0000.png::boost_h,L0,260820_boost_h_on,10.9914,0.3614,-13.637,-17.7914,1.0,0.0,0.6748046875,0.89794921875,1.1875,1.93359375,6.71484375,34.0,0.6220703125,0.02443190586419753,0.19473391771316528,0.2005499303340912,0.7599961419753086,0.16461757330246912,0.03613570601851852,0.024037422839506172,0.027168449014425278,0.4140625,0.01803816668689251
scene15,on,on/scene15/L0__s20260820__0001.png::boost_h,L0,260820_boost_h_on,9.9013,0.8097,-6.8068,-11.8299,0.9950761959876543,0.004923804012345679,1.1494140625,1.697265625,2.380859375,3.697265625,9.6953125,40.125,1.0615234375,0.04146170910493827,0.33307817578315735,0.2527926564216614,0.37503520447530864,0.45527729552469137,0.06249807098765432,0.07265721450617284,0.03950778394937515,0.4921875,0.049575839191675186
scene15,on,on/scene15/L0__s20260820__0002.png::boost_h,L0,260820_boost_h_on,6.6026,0.6748,-8.6096,-4.0107,0.9972492283950617,0.0027507716049382717,1.3134765625,1.6259765625,2.1328125,3.328125,7.35546875,37.125,1.1796875,0.039831211419753085,0.2990928292274475,0.21215960383415222,0.44341917438271605,0.40556471836419755,0.1019212962962963,0.014521604938271605,0.025338882580399513,0.24609375,0.03755529597401619
scene15,on,on/scene15/L0__s20260820__0003.png::boost_h,L0,260820_boost_h_on,7.5147,0.4263,-11.0902,-4.9586,0.999975887345679,2.4112654320987653e-05,0.8603515625,1.1826171875,1.71484375,2.673828125,7.29296875,36.46875,0.7841796875,0.027297935956790125,0.2433544248342514,0.203269824385643,0.607293113425926,0.2914776234567901,0.06614824459876543,0.01168065200617284,0.02685823291540146,0.3219146728515625,0.027225330471992493
